trip_id,weather_condition,bus_type,traffic_level,route_distance_km,stops_count,passenger_count,driver_experience_years,scheduled_start_hour,delay_level,trip_duration_minutes
TRIP201396,Windy,Mini Bus,Moderate,13.00,9,23,7.91,7,Moderate Delay,53.84
TRIP203651,Rainy,Standard,High,4.19,3,26,4.03,5,Moderate Delay,40.26
TRIP200153,Rainy,Standard,Moderate,4.42,5,26,3.90,6,On Time,28.64
TRIP209009,Rainy,,Moderate,21.29,19,31,4.85,22,Severe Delay,112.70
TRIP204405,Clear,Standard,Low,12.37,15,39,3.02,20,On Time,47.37
TRIP208891,Clear,Standard,Moderate,9.79,12,55,1.65,18,Severe Delay,59.05
TRIP207601,Clear,Standard,High,19.28,19,48,10.04,21,Severe Delay,121.60
TRIP201125,Rainy,Standard,Severe,25.00,26,16,3.40,21,Severe Delay,180.00
TRIP203450,Rainy,Express,Moderate,6.12,3,44,4.56,8,Moderate Delay,33.84
TRIP206672,Foggy,,Low,17.23,19,10,5.26,23,Moderate Delay,77.09
TRIP208120,Clear,Express,Moderate,10.59,11,14,9.80,20,On Time,31.09
TRIP202567,Foggy,Standard,Moderate,17.99,17,51,7.41,9,Severe Delay,109.14
TRIP209159,Clear,Standard,High,18.86,22,32,2.39,21,Severe Delay,118.94
TRIP203437,Windy,Mini Bus,Low,4.96,5,23,4.11,13,On Time,17.51
TRIP207250,,Standard,High,4.96,6,49,2.00,5,Severe Delay,37.70
TRIP202135,Clear,Mini Bus,Low,19.70,21,14,2.65,8,Severe Delay,83.83
TRIP205956,Clear,Express,Moderate,9.70,10,40,4.54,9,On Time,46.19
TRIP207776,Clear,Standard,High,11.07,10,33,12.55,6,On Time,54.27
TRIP206907,Clear,Standard,High,6.54,5,35,4.51,9,Moderate Delay,45.85
TRIP205463,Clear,Standard,Low,18.79,19,18,4.44,13,Moderate Delay,75.11
TRIP203834,,Mini Bus,High,14.10,20,14,,23,Moderate Delay,92.26
TRIP206749,Clear,Express,Low,3.49,3,15,0.35,15,On Time,18.99
TRIP204074,Clear,Standard,Low,13.88,17,48,8.04,16,Severe Delay,60.59
TRIP203157,Windy,Mini Bus,Moderate,2.55,6,22,3.32,5,Moderate Delay,19.92
TRIP203364,Clear,Mini Bus,Moderate,8.13,6,20,6.86,18,On Time,41.22
TRIP209546,Clear,Express,Moderate,3.73,8,17,14.17,5,On Time,12.00
TRIP201715,Clear,Standard,Low,11.03,11,37,13.88,21,On Time,35.64
TRIP205860,Clear,Standard,Moderate,3.07,3,22,9.85,14,On Time,22.90
TRIP201051,Clear,Standard,Moderate,8.48,7,40,11.36,13,On Time,31.90
TRIP202526,Clear,Mini Bus,Moderate,5.10,5,3,1.88,6,On Time,32.72
TRIP201248,Clear,Mini Bus,High,13.12,14,4,6.60,6,Moderate Delay,68.22
TRIP202613,Foggy,Express,Severe,20.56,27,32,1.71,16,Severe Delay,157.12
TRIP206137,Clear,Standard,High,5.83,8,25,6.93,11,On Time,38.22
TRIP209439,Clear,Standard,High,13.93,15,43,6.41,23,Moderate Delay,85.32
TRIP207882,Clear,Standard,Moderate,13.17,16,43,16.32,7,Moderate Delay,73.52
TRIP202624,Clear,Mini Bus,Moderate,4.97,9,11,4.90,20,On Time,35.86
TRIP201972,Clear,Standard,High,6.81,6,50,3.57,19,Severe Delay,55.78
TRIP209410,Foggy,Standard,Severe,19.80,18,40,7.10,17,Severe Delay,157.77
TRIP207735,Windy,Standard,Low,6.85,7,35,5.98,5,On Time,23.28
TRIP208432,Rainy,Mini Bus,High,22.91,23,22,3.75,19,Severe Delay,172.32
TRIP202253,Foggy,Standard,High,4.93,9,50,5.20,19,Severe Delay,43.24
TRIP206864,Foggy,Standard,Low,10.32,15,33,2.16,12,Moderate Delay,50.34
TRIP203584,Clear,Standard,Moderate,5.25,5,53,2.81,13,Severe Delay,24.53
TRIP205309,Clear,Express,Moderate,9.52,9,26,,14,On Time,32.94
TRIP204386,Windy,Standard,Moderate,9.10,11,40,1.63,5,Moderate Delay,50.64
TRIP205828,Clear,Standard,Moderate,26.97,28,42,2.62,8,Severe Delay,163.19
TRIP201882,Clear,Mini Bus,High,4.01,5,17,8.96,5,On Time,30.39
TRIP204508,Windy,Standard,Low,6.34,7,32,1.23,13,Moderate Delay,22.35
TRIP201867,Rainy,Standard,Moderate,12.08,10,30,6.00,15,Moderate Delay,59.02
TRIP208724,Clear,Standard,Moderate,6.22,6,38,10.28,23,On Time,29.48
TRIP206696,Clear,Express,Low,2.11,8,39,8.06,6,On Time,12.00
TRIP200366,Foggy,Mini Bus,High,9.32,10,18,9.77,21,Severe Delay,54.64
TRIP201014,Clear,Mini Bus,High,3.43,8,45,3.56,9,Severe Delay,36.16
TRIP206728,Clear,,High,13.17,16,45,1.27,16,Severe Delay,96.11
TRIP207063,Clear,Express,Low,6.72,8,21,4.51,10,On Time,22.37
TRIP207231,Rainy,Mini Bus,Severe,4.44,6,31,3.75,14,Severe Delay,55.61
TRIP203867,Clear,Standard,High,6.42,4,40,3.11,22,On Time,44.23
TRIP203663,Clear,Standard,Severe,12.15,9,37,4.63,6,Moderate Delay,85.10
TRIP205699,Clear,Standard,Moderate,5.99,8,55,9.20,19,Moderate Delay,29.53
TRIP203760,Clear,Standard,Moderate,15.85,15,65,4.75,18,Moderate Delay,79.77
TRIP202228,Windy,Standard,High,15.90,16,25,13.83,11,Severe Delay,98.96
TRIP204491,Foggy,Standard,High,18.96,17,31,6.97,23,Severe Delay,120.98
TRIP203543,Clear,Standard,High,7.54,11,36,11.76,6,Moderate Delay,41.27
TRIP206697,Rainy,Express,Low,14.96,12,19,18.00,21,On Time,57.42
TRIP206408,Clear,Standard,Moderate,10.61,11,22,4.13,23,On Time,54.17
TRIP209522,Windy,Mini Bus,Severe,26.14,27,14,,15,Severe Delay,180.00
TRIP202967,Clear,Mini Bus,High,2.51,3,37,2.03,19,Severe Delay,20.63
TRIP204353,Clear,Express,Low,8.27,13,40,3.68,17,On Time,31.12
TRIP200238,Windy,Mini Bus,Moderate,6.73,5,32,6.38,9,Moderate Delay,41.86
TRIP206592,Windy,Mini Bus,Severe,10.44,12,27,8.46,18,Severe Delay,91.99
TRIP202335,Clear,Standard,High,7.70,8,31,3.99,15,On Time,38.03
TRIP205008,Clear,Express,High,6.27,5,22,1.90,5,Moderate Delay,36.54
TRIP208579,Clear,Standard,Moderate,18.78,19,32,9.19,23,Moderate Delay,82.93
TRIP209339,Clear,Standard,Severe,15.28,14,54,4.06,20,Severe Delay,114.96
TRIP204035,,Standard,High,2.00,3,39,3.70,8,Severe Delay,17.33
TRIP204116,Rainy,Standard,Low,10.21,6,30,10.32,13,On Time,47.67
TRIP209664,Foggy,Express,Low,4.80,5,31,2.94,15,On Time,26.38
TRIP209566,Rainy,Standard,Moderate,11.11,13,43,13.54,18,Moderate Delay,59.27
TRIP209729,Clear,Standard,Severe,16.60,17,40,9.47,23,Moderate Delay,134.26
TRIP201287,Windy,Mini Bus,Moderate,16.10,17,20,4.61,8,Severe Delay,89.43
TRIP204193,Foggy,Standard,Severe,16.30,12,,5.55,17,Severe Delay,135.38
TRIP207718,Rainy,,High,10.11,10,45,6.49,16,Severe Delay,66.40
TRIP206999,Clear,Mini Bus,Moderate,2.54,3,21,17.45,20,On Time,22.06
TRIP204885,Clear,Standard,Low,7.29,6,38,5.09,17,Moderate Delay,35.84
TRIP200658,Windy,Mini Bus,Moderate,5.72,3,11,13.97,12,On Time,17.00
TRIP208518,Rainy,Standard,Moderate,5.94,5,41,5.53,8,Moderate Delay,41.64
